attribute,value,reactorName
First Criticality,"Tuesday, 12 May 1981",ST.%20LAURENT%20B-2
First Grid Connection,"Monday, 1 June 1981",ST.%20LAURENT%20B-2
Commercial Operation,"Monday, 1 August 1983",ST.%20LAURENT%20B-2
Capacity Net,915 MWe,ST.%20LAURENT%20B-2
Capacity Gross,956 MWe,ST.%20LAURENT%20B-2
Thermal Capacity,2785 MWt,ST.%20LAURENT%20B-2
Design Net Capacity,880 MWe,ST.%20LAURENT%20B-2
Total GWh,225037.66,ST.%20LAURENT%20B-2
Reactor Type,Gas-Cooled Reactor (or GCR),ST.%20LAURENT%20A-1
Model,UNGG,ST.%20LAURENT%20A-1
Owner,EDF,ST.%20LAURENT%20A-1
Operator,EDF,ST.%20LAURENT%20A-1
Construction Start,"Tuesday, 1 October 1963",ST.%20LAURENT%20A-1
First Criticality,"Tuesday, 7 January 1969",ST.%20LAURENT%20A-1
First Grid Connection,"Friday, 14 March 1969",ST.%20LAURENT%20A-1
Commercial Operation,"Sunday, 1 June 1969",ST.%20LAURENT%20A-1
Permanent Shutdown,"Wednesday, 18 April 1990",ST.%20LAURENT%20A-1
Capacity Net,390 MWe,ST.%20LAURENT%20A-1
Capacity Gross,500 MWe,ST.%20LAURENT%20A-1
Thermal Capacity,1650 MWt,ST.%20LAURENT%20A-1
Design Net Capacity,480 MWe,ST.%20LAURENT%20A-1
Total GWh,44147.23,ST.%20LAURENT%20A-1
Reactor Type,Gas-Cooled Reactor (or GCR),ST.%20LAURENT%20A-2
Model,UNGG,ST.%20LAURENT%20A-2
Owner,EDF,ST.%20LAURENT%20A-2
Operator,EDF,ST.%20LAURENT%20A-2
Construction Start,"Saturday, 1 January 1966",ST.%20LAURENT%20A-2
First Criticality,"Sunday, 4 July 1971",ST.%20LAURENT%20A-2
First Grid Connection,"Monday, 9 August 1971",ST.%20LAURENT%20A-2
Commercial Operation,"Monday, 1 November 1971",ST.%20LAURENT%20A-2
Permanent Shutdown,"Wednesday, 27 May 1992",ST.%20LAURENT%20A-2
Capacity Net,465 MWe,ST.%20LAURENT%20A-2
Capacity Gross,530 MWe,ST.%20LAURENT%20A-2
Thermal Capacity,1475 MWt,ST.%20LAURENT%20A-2
Design Net Capacity,515 MWe,ST.%20LAURENT%20A-2
Total GWh,46917.34,ST.%20LAURENT%20A-2
Reactor Type,Pressurised Water Reactor (or PWR),TRICASTIN-1
Model,CP1,TRICASTIN-1
Owner,EDF,TRICASTIN-1
Operator,EDF,TRICASTIN-1
Construction Start,"Friday, 1 November 1974",TRICASTIN-1
First Criticality,"Thursday, 21 February 1980",TRICASTIN-1
First Grid Connection,"Saturday, 31 May 1980",TRICASTIN-1
Commercial Operation,"Monday, 1 December 1980",TRICASTIN-1
Capacity Net,915 MWe,TRICASTIN-1
Capacity Gross,955 MWe,TRICASTIN-1
Thermal Capacity,2785 MWt,TRICASTIN-1
Design Net Capacity,915 MWe,TRICASTIN-1
Total GWh,249420.28,TRICASTIN-1
Reactor Type,Pressurised Water Reactor (or PWR),TRICASTIN-2
Model,CP1,TRICASTIN-2
Owner,EDF,TRICASTIN-2
Operator,EDF,TRICASTIN-2
Construction Start,"Sunday, 1 December 1974",TRICASTIN-2
First Criticality,"Tuesday, 22 July 1980",TRICASTIN-2
First Grid Connection,"Thursday, 7 August 1980",TRICASTIN-2
Commercial Operation,"Monday, 1 December 1980",TRICASTIN-2
Capacity Net,915 MWe,TRICASTIN-2
Capacity Gross,955 MWe,TRICASTIN-2
Thermal Capacity,2785 MWt,TRICASTIN-2
Design Net Capacity,915 MWe,TRICASTIN-2
Total GWh,250042.77,TRICASTIN-2
Reactor Type,Pressurised Water Reactor (or PWR),TRICASTIN-3
Model,CP1,TRICASTIN-3
Owner,EDF,TRICASTIN-3
Operator,EDF,TRICASTIN-3
Construction Start,"Tuesday, 1 April 1975",TRICASTIN-3
First Criticality,"Saturday, 29 November 1980",TRICASTIN-3
First Grid Connection,"Tuesday, 10 February 1981",TRICASTIN-3
Commercial Operation,"Monday, 11 May 1981",TRICASTIN-3
Capacity Net,915 MWe,TRICASTIN-3
Capacity Gross,955 MWe,TRICASTIN-3
Thermal Capacity,2785 MWt,TRICASTIN-3
Design Net Capacity,915 MWe,TRICASTIN-3
Total GWh,251927.01,TRICASTIN-3
Reactor Type,Pressurised Water Reactor (or PWR),TRICASTIN-4
Model,CP1,TRICASTIN-4
Owner,EDF,TRICASTIN-4
Operator,EDF,TRICASTIN-4
Construction Start,"Thursday, 1 May 1975",TRICASTIN-4
First Criticality,"Sunday, 31 May 1981",TRICASTIN-4
First Grid Connection,"Friday, 12 June 1981",TRICASTIN-4
Commercial Operation,"Sunday, 1 November 1981",TRICASTIN-4
Capacity Net,915 MWe,TRICASTIN-4
Capacity Gross,955 MWe,TRICASTIN-4
Thermal Capacity,2785 MWt,TRICASTIN-4
Design Net Capacity,915 MWe,TRICASTIN-4
Total GWh,252804.85,TRICASTIN-4
Reactor Type,High Temperature Gas-Cooled Reactor (or HTGR),AVR%20JUELICH
Model,Pebble bed reactor prototype,AVR%20JUELICH
Owner,Arbeitsgemeinschaft Versuchsreaktor Gmbh,AVR%20JUELICH
Operator,Arbeitsgemeinschaft Versuchsreaktor Gmbh,AVR%20JUELICH
Construction Start,"Tuesday, 1 August 1961",AVR%20JUELICH
First Criticality,"Tuesday, 16 August 1966",AVR%20JUELICH
First Grid Connection,"Sunday, 17 December 1967",AVR%20JUELICH
Commercial Operation,"Monday, 19 May 1969",AVR%20JUELICH
Permanent Shutdown,"Saturday, 31 December 1988",AVR%20JUELICH
Capacity Net,13 MWe,AVR%20JUELICH
Capacity Gross,15 MWe,AVR%20JUELICH
Thermal Capacity,46 MWt,AVR%20JUELICH
Design Net Capacity,13 MWe,AVR%20JUELICH
Total GWh,1293.44,AVR%20JUELICH
Reactor Type,Pressurised Water Reactor (or PWR),BIBLIS-A
Model,PWR,BIBLIS-A
Owner,RWE Power AG,BIBLIS-A
Operator,RWE Power AG,BIBLIS-A
Construction Start,"Thursday, 1 January 1970",BIBLIS-A
First Criticality,"Tuesday, 16 July 1974",BIBLIS-A
First Grid Connection,"Sunday, 25 August 1974",BIBLIS-A
Commercial Operation,"Wednesday, 26 February 1975",BIBLIS-A
Permanent Shutdown,"Saturday, 6 August 2011",BIBLIS-A
Capacity Net,1167 MWe,BIBLIS-A
Capacity Gross,1225 MWe,BIBLIS-A
Thermal Capacity,3517 MWt,BIBLIS-A
Design Net Capacity,1146 MWe,BIBLIS-A
Total GWh,233363.2,BIBLIS-A
Reactor Type,Pressurised Water Reactor (or PWR),BIBLIS-B
Model,PWR,BIBLIS-B
Owner,RWE Power AG,BIBLIS-B
Operator,RWE Power AG,BIBLIS-B
Construction Start,"Tuesday, 1 February 1972",BIBLIS-B
First Criticality,"Thursday, 25 March 1976",BIBLIS-B
First Grid Connection,"Sunday, 25 April 1976",BIBLIS-B
Commercial Operation,"Monday, 31 January 1977",BIBLIS-B
Permanent Shutdown,"Saturday, 6 August 2011",BIBLIS-B
Capacity Net,1240 MWe,BIBLIS-B
Capacity Gross,1300 MWe,BIBLIS-B
Thermal Capacity,3733 MWt,BIBLIS-B
Design Net Capacity,1178 MWe,BIBLIS-B
Total GWh,247843.89,BIBLIS-B
Reactor Type,Pressurised Water Reactor (or PWR),BROKDORF
Model,PWR,BROKDORF
Owner,"Preussenelektra Gmbh (80%)

Vattenfall Gmbh (20%)",BROKDORF
Operator,Preussenelektra Gmbh,BROKDORF
Construction Start,"Thursday, 1 January 1976",BROKDORF
First Criticality,"Wednesday, 8 October 1986",BROKDORF
First Grid Connection,"Tuesday, 14 October 1986",BROKDORF
Commercial Operation,"Monday, 22 December 1986",BROKDORF
Permanent Shutdown,"Friday, 31 December 2021",BROKDORF
Capacity Net,1410 MWe,BROKDORF
Capacity Gross,1480 MWe,BROKDORF
Thermal Capacity,3900 MWt,BROKDORF
Design Net Capacity,1307 MWe,BROKDORF
Total GWh,363055.75,BROKDORF
Reactor Type,Boiling Water Reactor (or BWR),BRUNSBUETTEL
Model,BWR-69,BRUNSBUETTEL
Owner,"Vattenfall Europe Nuclear Energy Gmbh (66.6%)

E.On Kernkraft Gmbh (33.3%)",BRUNSBUETTEL
Operator,Kernkraftwerk Brunsbüttel Gmbh & Co. Ohg,BRUNSBUETTEL
Construction Start,"Wednesday, 15 April 1970",BRUNSBUETTEL
First Criticality,"Wednesday, 23 June 1976",BRUNSBUETTEL
First Grid Connection,"Tuesday, 13 July 1976",BRUNSBUETTEL
Commercial Operation,"Wednesday, 9 February 1977",BRUNSBUETTEL
Permanent Shutdown,"Saturday, 6 August 2011",BRUNSBUETTEL
Capacity Net,771 MWe,BRUNSBUETTEL
Capacity Gross,806 MWe,BRUNSBUETTEL
Thermal Capacity,2292 MWt,BRUNSBUETTEL
Design Net Capacity,770 MWe,BRUNSBUETTEL
Total GWh,120490.12,BRUNSBUETTEL
Reactor Type,Pressurised Water Reactor (or PWR),EMSLAND
Model,Konvoi,EMSLAND
Owner,"RWE Power AG (87.5%), E.On Kernkraft Gmbh (12.5%)",EMSLAND
Operator,Kernkraftwerke Lippe-Ems Gmbh,EMSLAND
Construction Start,"Tuesday, 10 August 1982",EMSLAND
First Criticality,"Thursday, 14 April 1988",EMSLAND
First Grid Connection,"Tuesday, 19 April 1988",EMSLAND
Commercial Operation,"Monday, 20 June 1988",EMSLAND
Permanent Shutdown,"Saturday, 15 April 2023",EMSLAND
Capacity Net,1335 MWe,EMSLAND
Capacity Gross,1406 MWe,EMSLAND
Thermal Capacity,3850 MWt,EMSLAND
Design Net Capacity,1242 MWe,EMSLAND
Total GWh,370412.78,EMSLAND
Reactor Type,Pressurised Water Reactor (or PWR),GRAFENRHEINFELD
Model,PWR,GRAFENRHEINFELD
Owner,E.On Kernkraft Gmbh,GRAFENRHEINFELD
Operator,E.On Kernkraft Gmbh,GRAFENRHEINFELD
Construction Start,"Wednesday, 1 January 1975",GRAFENRHEINFELD
First Criticality,"Wednesday, 9 December 1981",GRAFENRHEINFELD
First Grid Connection,"Wednesday, 30 December 1981",GRAFENRHEINFELD
Commercial Operation,"Thursday, 17 June 1982",GRAFENRHEINFELD
Permanent Shutdown,"Saturday, 27 June 2015",GRAFENRHEINFELD
Capacity Net,1275 MWe,GRAFENRHEINFELD
Capacity Gross,1345 MWe,GRAFENRHEINFELD
Thermal Capacity,3765 MWt,GRAFENRHEINFELD
Design Net Capacity,1225 MWe,GRAFENRHEINFELD
Total GWh,315240.28,GRAFENRHEINFELD
Reactor Type,Pressurised Water Reactor (or PWR),GREIFSWALD-1
Model,VVER V-230,GREIFSWALD-1
Owner,Energiewerke Nord Gmbh,GREIFSWALD-1
Operator,Energiewerke Nord Gmbh,GREIFSWALD-1
Construction Start,"Sunday, 1 March 1970",GREIFSWALD-1
First Criticality,"Saturday, 15 December 1973",GREIFSWALD-1
First Grid Connection,"Monday, 17 December 1973",GREIFSWALD-1
Commercial Operation,"Friday, 12 July 1974",GREIFSWALD-1
Permanent Shutdown,"Wednesday, 14 February 1990",GREIFSWALD-1
Capacity Net,408 MWe,GREIFSWALD-1
Capacity Gross,440 MWe,GREIFSWALD-1
Thermal Capacity,1375 MWt,GREIFSWALD-1
Design Net Capacity,440 MWe,GREIFSWALD-1
Total GWh,2716.9,GREIFSWALD-1
Reactor Type,Pressurised Water Reactor (or PWR),GREIFSWALD-2
Model,VVER V-230,GREIFSWALD-2
Owner,Energiewerke Nord Gmbh,GREIFSWALD-2
Operator,Energiewerke Nord Gmbh,GREIFSWALD-2
Construction Start,"Sunday, 1 March 1970",GREIFSWALD-2
First Criticality,"Tuesday, 3 December 1974",GREIFSWALD-2
First Grid Connection,"Monday, 23 December 1974",GREIFSWALD-2
Commercial Operation,"Wednesday, 16 April 1975",GREIFSWALD-2
Permanent Shutdown,"Wednesday, 14 February 1990",GREIFSWALD-2
Capacity Net,408 MWe,GREIFSWALD-2
Capacity Gross,440 MWe,GREIFSWALD-2
Thermal Capacity,1375 MWt,GREIFSWALD-2
Design Net Capacity,408 MWe,GREIFSWALD-2
Total GWh,2654.34,GREIFSWALD-2
Reactor Type,Pressurised Water Reactor (or PWR),GREIFSWALD-3
Model,VVER V-230,GREIFSWALD-3
Owner,Energiewerke Nord Gmbh,GREIFSWALD-3
Operator,Energiewerke Nord Gmbh,GREIFSWALD-3
Construction Start,"Saturday, 1 April 1972",GREIFSWALD-3
First Criticality,"Sunday, 16 October 1977",GREIFSWALD-3
First Grid Connection,"Monday, 24 October 1977",GREIFSWALD-3
Commercial Operation,"Monday, 1 May 1978",GREIFSWALD-3
Permanent Shutdown,"Wednesday, 28 February 1990",GREIFSWALD-3
Capacity Net,408 MWe,GREIFSWALD-3
Capacity Gross,440 MWe,GREIFSWALD-3
Thermal Capacity,1375 MWt,GREIFSWALD-3
Design Net Capacity,408 MWe,GREIFSWALD-3
Total GWh,2783.69,GREIFSWALD-3
Reactor Type,Pressurised Water Reactor (or PWR),GREIFSWALD-4
Model,VVER V-230,GREIFSWALD-4
Owner,Energiewerke Nord Gmbh,GREIFSWALD-4
Operator,Energiewerke Nord Gmbh,GREIFSWALD-4
Construction Start,"Saturday, 1 April 1972",GREIFSWALD-4
First Criticality,"Sunday, 22 July 1979",GREIFSWALD-4
First Grid Connection,"Monday, 3 September 1979",GREIFSWALD-4
Commercial Operation,"Thursday, 1 November 1979",GREIFSWALD-4
Permanent Shutdown,"Sunday, 22 July 1990",GREIFSWALD-4
Capacity Net,408 MWe,GREIFSWALD-4
Capacity Gross,440 MWe,GREIFSWALD-4
Thermal Capacity,1375 MWt,GREIFSWALD-4
Design Net Capacity,408 MWe,GREIFSWALD-4
Total GWh,2522.87,GREIFSWALD-4
Reactor Type,Pressurised Water Reactor (or PWR),GREIFSWALD-5
Model,VVER V-213,GREIFSWALD-5
Owner,"VEB KKW ""Bruno Leuschner""",GREIFSWALD-5
Operator,Energiewerke Nord Gmbh,GREIFSWALD-5
Construction Start,"Wednesday, 1 December 1976",GREIFSWALD-5
First Criticality,"Sunday, 26 March 1989",GREIFSWALD-5
First Grid Connection,"Monday, 24 April 1989",GREIFSWALD-5
Commercial Operation,"Wednesday, 1 November 1989",GREIFSWALD-5
Permanent Shutdown,"Friday, 24 November 1989",GREIFSWALD-5
Capacity Net,408 MWe,GREIFSWALD-5
Capacity Gross,440 MWe,GREIFSWALD-5
Thermal Capacity,1375 MWt,GREIFSWALD-5
Design Net Capacity,408 MWe,GREIFSWALD-5
Total GWh,0,GREIFSWALD-5
Reactor Type,Pressurised Water Reactor (or PWR),GROHNDE
Model,PWR,GROHNDE
Owner,"Preussenelektra Gmbh (83.3%)

Stadtwerke Bielefeld (16.7%)",GROHNDE
Operator,Preussenelektra Gmbh,GROHNDE
Construction Start,"Tuesday, 1 June 1976",GROHNDE
First Criticality,"Saturday, 1 September 1984",GROHNDE
First Grid Connection,"Wednesday, 5 September 1984",GROHNDE
Commercial Operation,"Friday, 1 February 1985",GROHNDE
Permanent Shutdown,"Friday, 31 December 2021",GROHNDE
Capacity Net,1360 MWe,GROHNDE
Capacity Gross,1430 MWe,GROHNDE
Thermal Capacity,3900 MWt,GROHNDE
Design Net Capacity,1289 MWe,GROHNDE
Total GWh,387497.81,GROHNDE
Reactor Type,Boiling Water Reactor (or BWR),GUNDREMMINGEN-B
Model,BWR-72,GUNDREMMINGEN-B
Owner,"RWE Power AG (75%), E.On Kernkraft Gmbh (25%)",GUNDREMMINGEN-B
Operator,Kernkraftwerk Gundremmingen Gmbh,GUNDREMMINGEN-B
Construction Start,"Tuesday, 20 July 1976",GUNDREMMINGEN-B
First Criticality,"Friday, 9 March 1984",GUNDREMMINGEN-B
First Grid Connection,"Friday, 16 March 1984",GUNDREMMINGEN-B
Commercial Operation,"Thursday, 19 July 1984",GUNDREMMINGEN-B
Permanent Shutdown,"Sunday, 31 December 2017",GUNDREMMINGEN-B
Capacity Net,1284 MWe,GUNDREMMINGEN-B
Capacity Gross,1344 MWe,GUNDREMMINGEN-B
Thermal Capacity,3840 MWt,GUNDREMMINGEN-B
Design Net Capacity,1244 MWe,GUNDREMMINGEN-B
Total GWh,314380.87,GUNDREMMINGEN-B
Reactor Type,Boiling Water Reactor (or BWR),GUNDREMMINGEN-C
Model,BWR-72,GUNDREMMINGEN-C
Owner,"RWE Power AG (75%), E.On Kernkraft Gmbh (25%)",GUNDREMMINGEN-C
Operator,Kernkraftwerk Gundremmingen Gmbh,GUNDREMMINGEN-C
Construction Start,"Tuesday, 20 July 1976",GUNDREMMINGEN-C
First Criticality,"Friday, 26 October 1984",GUNDREMMINGEN-C
First Grid Connection,"Friday, 2 November 1984",GUNDREMMINGEN-C
Commercial Operation,"Friday, 18 January 1985",GUNDREMMINGEN-C
Permanent Shutdown,"Friday, 31 December 2021",GUNDREMMINGEN-C
Capacity Net,1288 MWe,GUNDREMMINGEN-C
Capacity Gross,1344 MWe,GUNDREMMINGEN-C
Thermal Capacity,3840 MWt,GUNDREMMINGEN-C
Design Net Capacity,1249 MWe,GUNDREMMINGEN-C
Total GWh,344042.38,GUNDREMMINGEN-C
Reactor Type,Boiling Water Reactor (or BWR),GUNDREMMINGEN-A
Model,,GUNDREMMINGEN-A
Owner,,GUNDREMMINGEN-A
Operator,Kernkraftwerke Gundremmingen Betriebsgesellschaft Mbh,GUNDREMMINGEN-A
Construction Start,"Wednesday, 12 December 1962",GUNDREMMINGEN-A
First Criticality,"Sunday, 14 August 1966",GUNDREMMINGEN-A
First Grid Connection,"Thursday, 1 December 1966",GUNDREMMINGEN-A
Commercial Operation,"Wednesday, 12 April 1967",GUNDREMMINGEN-A
Permanent Shutdown,"Thursday, 13 January 1977",GUNDREMMINGEN-A
Capacity Net,237 MWe,GUNDREMMINGEN-A
Capacity Gross,250 MWe,GUNDREMMINGEN-A
Thermal Capacity,801 MWt,GUNDREMMINGEN-A
Design Net Capacity,237 MWe,GUNDREMMINGEN-A
Total GWh,10346.6,GUNDREMMINGEN-A
Reactor Type,Boiling Water Reactor (or BWR),HDR%20GROSSWELZHEIM
Model,Superheated steam reactor,HDR%20GROSSWELZHEIM
Owner,Heissdampfreaktor-Betriebsgesellschaft Mbh.,HDR%20GROSSWELZHEIM
Operator,Heissdampfreaktor-Betriebsgesellschaft Mbh.,HDR%20GROSSWELZHEIM
Construction Start,"Friday, 1 January 1965",HDR%20GROSSWELZHEIM
First Criticality,"Tuesday, 14 October 1969",HDR%20GROSSWELZHEIM
First Grid Connection,"Tuesday, 14 October 1969",HDR%20GROSSWELZHEIM
Commercial Operation,"Sunday, 2 August 1970",HDR%20GROSSWELZHEIM
Permanent Shutdown,"Tuesday, 20 April 1971",HDR%20GROSSWELZHEIM
Capacity Net,25 MWe,HDR%20GROSSWELZHEIM
Capacity Gross,27 MWe,HDR%20GROSSWELZHEIM
Thermal Capacity,100 MWt,HDR%20GROSSWELZHEIM
Design Net Capacity,23 MWe,HDR%20GROSSWELZHEIM
Total GWh,6.2,HDR%20GROSSWELZHEIM
Reactor Type,Boiling Water Reactor (or BWR),ISAR-1
Model,BWR-69,ISAR-1
Owner,E.On Kernkraft Gmbh,ISAR-1
Operator,E.On Kernkraft Gmbh,ISAR-1
Construction Start,"Monday, 1 May 1972",ISAR-1
First Criticality,"Sunday, 20 November 1977",ISAR-1
First Grid Connection,"Saturday, 3 December 1977",ISAR-1
Commercial Operation,"Wednesday, 21 March 1979",ISAR-1
Permanent Shutdown,"Saturday, 6 August 2011",ISAR-1
Capacity Net,878 MWe,ISAR-1
Capacity Gross,912 MWe,ISAR-1
Thermal Capacity,2575 MWt,ISAR-1
Design Net Capacity,870 MWe,ISAR-1
Total GWh,198061.77,ISAR-1
Reactor Type,Pressurised Water Reactor (or PWR),ISAR-2
Model,Konvoi,ISAR-2
Owner,"Preussenelektra Gmbh (75%)

Stadtwerke München (25%)",ISAR-2
Operator,Preussenelektra Gmbh,ISAR-2
Construction Start,"Wednesday, 15 September 1982",ISAR-2
First Criticality,"Friday, 15 January 1988",ISAR-2
First Grid Connection,"Friday, 22 January 1988",ISAR-2
Commercial Operation,"Saturday, 9 April 1988",ISAR-2
Permanent Shutdown,"Saturday, 15 April 2023",ISAR-2
Capacity Net,1410 MWe,ISAR-2
Capacity Gross,1485 MWe,ISAR-2
Thermal Capacity,3950 MWt,ISAR-2
Design Net Capacity,1285 MWe,ISAR-2
Total GWh,380934.46,ISAR-2
Reactor Type,Fast Reactor (or FBR),KNK%20II
Model,Prototype,KNK%20II
Owner,"Karlsruher Institut Für Technologie
(Kernforschungszentrum Karlsruhe -Kfk)",KNK%20II
Operator,Kernkraftwerk-Betriebsgesellschaft Mbh,KNK%20II
Construction Start,"Sunday, 1 September 1974",KNK%20II
First Criticality,"Monday, 10 October 1977",KNK%20II
First Grid Connection,"Sunday, 9 April 1978",KNK%20II
Commercial Operation,"Saturday, 3 March 1979",KNK%20II
Permanent Shutdown,"Friday, 23 August 1991",KNK%20II
Capacity Net,17 MWe,KNK%20II
Capacity Gross,21 MWe,KNK%20II
Thermal Capacity,58 MWt,KNK%20II
Design Net Capacity,18 MWe,KNK%20II
Total GWh,322.64,KNK%20II
Reactor Type,Boiling Water Reactor (or BWR),KRUEMMEL
Model,BWR-69,KRUEMMEL
Owner,"Vattenfall Europe Nuclear Energy Gmbh (50%)

E.On Kernkraft Gmbh (50%)",KRUEMMEL
Operator,Kernkraftwerk Krümmel Gmbh & Co. Ohg,KRUEMMEL
Construction Start,"Friday, 5 April 1974",KRUEMMEL
First Criticality,"Wednesday, 14 September 1983",KRUEMMEL
First Grid Connection,"Wednesday, 28 September 1983",KRUEMMEL
Commercial Operation,"Wednesday, 28 March 1984",KRUEMMEL
Permanent Shutdown,"Saturday, 6 August 2011",KRUEMMEL
Capacity Net,1346 MWe,KRUEMMEL
Capacity Gross,1402 MWe,KRUEMMEL
Thermal Capacity,3690 MWt,KRUEMMEL
Design Net Capacity,1260 MWe,KRUEMMEL
Total GWh,201792.15,KRUEMMEL
Reactor Type,Boiling Water Reactor (or BWR),LINGEN
Model,BWR with fossil fuel-fired superheater,LINGEN
Owner,RWE Power AG,LINGEN
Operator,Kernkraftwerk Lingen Gmbh,LINGEN
Construction Start,"Thursday, 1 October 1964",LINGEN
First Criticality,"Wednesday, 31 January 1968",LINGEN
First Grid Connection,"Monday, 1 July 1968",LINGEN
Commercial Operation,"Tuesday, 1 October 1968",LINGEN
Permanent Shutdown,"Wednesday, 5 January 1977",LINGEN
Capacity Net,183 MWe,LINGEN
Capacity Gross,268 MWe,LINGEN
Thermal Capacity,520 MWt,LINGEN
Design Net Capacity,183 MWe,LINGEN
Total GWh,6697.4,LINGEN
Reactor Type,Pressurised Water Reactor (or PWR),MUELHEIM-KAERLICH
Model,PWR,MUELHEIM-KAERLICH
Owner,SCN,MUELHEIM-KAERLICH
Operator,Kernkraftwerk Gundremmingen Gmbh,MUELHEIM-KAERLICH
Construction Start,"Wednesday, 15 January 1975",MUELHEIM-KAERLICH
First Criticality,"Saturday, 1 March 1986",MUELHEIM-KAERLICH
First Grid Connection,"Friday, 14 March 1986",MUELHEIM-KAERLICH
Commercial Operation,"Tuesday, 18 August 1987",MUELHEIM-KAERLICH
Permanent Shutdown,"Friday, 9 September 1988",MUELHEIM-KAERLICH
Capacity Net,1219 MWe,MUELHEIM-KAERLICH
Capacity Gross,1302 MWe,MUELHEIM-KAERLICH
Thermal Capacity,3760 MWt,MUELHEIM-KAERLICH
Design Net Capacity,1219 MWe,MUELHEIM-KAERLICH
Total GWh,10291.25,MUELHEIM-KAERLICH
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),MZFR
Model,-,MZFR
Owner,Kerntechnische Entsorgung Karlsruhe Gmbh,MZFR
Operator,Kernkraftwerk-Betriebsgesellschaft Mbh,MZFR
Construction Start,"Friday, 1 December 1961",MZFR
First Criticality,"Wednesday, 29 September 1965",MZFR
First Grid Connection,"Wednesday, 9 March 1966",MZFR
Commercial Operation,"Monday, 19 December 1966",MZFR
Permanent Shutdown,"Thursday, 3 May 1984",MZFR
Capacity Net,52 MWe,MZFR
Capacity Gross,57 MWe,MZFR
Thermal Capacity,200 MWt,MZFR
Design Net Capacity,50 MWe,MZFR
Total GWh,4345.2,MZFR
Reactor Type,Pressurised Water Reactor (or PWR),NECKARWESTHEIM-1
Model,PWR,NECKARWESTHEIM-1
Owner,"ENBW (98.45%), four other owners (1.55%)",NECKARWESTHEIM-1
Operator,ENBW Kernkraft Gmbh (Sitz In Obrigheim),NECKARWESTHEIM-1
Construction Start,"Tuesday, 1 February 1972",NECKARWESTHEIM-1
First Criticality,"Wednesday, 26 May 1976",NECKARWESTHEIM-1
First Grid Connection,"Thursday, 3 June 1976",NECKARWESTHEIM-1
Commercial Operation,"Wednesday, 1 December 1976",NECKARWESTHEIM-1
Permanent Shutdown,"Saturday, 6 August 2011",NECKARWESTHEIM-1
Capacity Net,785 MWe,NECKARWESTHEIM-1
Capacity Gross,840 MWe,NECKARWESTHEIM-1
Thermal Capacity,2497 MWt,NECKARWESTHEIM-1
Design Net Capacity,805 MWe,NECKARWESTHEIM-1
Total GWh,186297.71,NECKARWESTHEIM-1
Reactor Type,Pressurised Water Reactor (or PWR),NECKARWESTHEIM-2
Model,Konvoi,NECKARWESTHEIM-2
Owner,"ENBW (98.45%), four other owners (1.55%)",NECKARWESTHEIM-2
Operator,ENBW Kernkraft Gmbh (Sitz In Obrigheim),NECKARWESTHEIM-2
Construction Start,"Tuesday, 9 November 1982",NECKARWESTHEIM-2
First Criticality,"Thursday, 29 December 1988",NECKARWESTHEIM-2
First Grid Connection,"Tuesday, 3 January 1989",NECKARWESTHEIM-2
Commercial Operation,"Saturday, 15 April 1989",NECKARWESTHEIM-2
Permanent Shutdown,"Saturday, 15 April 2023",NECKARWESTHEIM-2
Capacity Net,1310 MWe,NECKARWESTHEIM-2
Capacity Gross,1400 MWe,NECKARWESTHEIM-2
Thermal Capacity,3850 MWt,NECKARWESTHEIM-2
Design Net Capacity,1225 MWe,NECKARWESTHEIM-2
Total GWh,351094.16,NECKARWESTHEIM-2
Reactor Type,Heavy Water Gas-Cooled Reactor (or HWGCR),NIEDERAICHBACH
Model,pressure tube reactor,NIEDERAICHBACH
Owner,"Karlsruher Institut Für Technologie
(Kernforschungszentrum Karlsruhe -Kfk)",NIEDERAICHBACH
Operator,Kernkraftwerk Niederaichbach Gmbh,NIEDERAICHBACH
Construction Start,"Wednesday, 1 June 1966",NIEDERAICHBACH
First Criticality,"Sunday, 17 December 1972",NIEDERAICHBACH
First Grid Connection,"Monday, 1 January 1973",NIEDERAICHBACH
Commercial Operation,"Monday, 1 January 1973",NIEDERAICHBACH
Permanent Shutdown,"Wednesday, 31 July 1974",NIEDERAICHBACH
Capacity Net,100 MWe,NIEDERAICHBACH
Capacity Gross,106 MWe,NIEDERAICHBACH
Thermal Capacity,321 MWt,NIEDERAICHBACH
Design Net Capacity,100 MWe,NIEDERAICHBACH
Total GWh,15.2,NIEDERAICHBACH
Reactor Type,Pressurised Water Reactor (or PWR),OBRIGHEIM
Model,,OBRIGHEIM
Owner,Kernkraftwerk Obrigheim Gmbh,OBRIGHEIM
Operator,Enbw Kraftwerke Ag,OBRIGHEIM
Construction Start,"Monday, 15 March 1965",OBRIGHEIM
First Criticality,"Sunday, 22 September 1968",OBRIGHEIM
First Grid Connection,"Tuesday, 29 October 1968",OBRIGHEIM
Commercial Operation,"Monday, 31 March 1969",OBRIGHEIM
Permanent Shutdown,"Wednesday, 11 May 2005",OBRIGHEIM
Capacity Net,340 MWe,OBRIGHEIM
Capacity Gross,357 MWe,OBRIGHEIM
Thermal Capacity,1050 MWt,OBRIGHEIM
Design Net Capacity,283 MWe,OBRIGHEIM
